model,train_time_sec,trainable_pct,rouge1,rouge2,rougeL
original (zero-shot),0.0,0.0,0.21511704549556845,0.05276613970999236,0.19012683529855728
full fine-tune,735.0265493392944,100.0,0.3391968969490266,0.085626906994066,0.2694312410063889
LoRA fine-tune (r=32),81.91442942619324,1.4092820552029972,0.3724143910419579,0.10838684919724097,0.3011439523120191
